Time;Mode;State;Warning 1;Warning 2;Longitude;Latitude;Heading;Speed;LGamma Dose rate (?Sv/h);LGamma BKG dose rate (?Sv/h);LGamma (cps);LGamma Bkg (cps);Neutron (cps);Neutron Bkg (cps);High range;HGamma filtered (cps);HGamma filtered Dose rate (?Sv/h);Ext (cps);Event #;Acq state;Live time (s);Temperature(C);Dose (?Sv);MCA Satured;ID 01;CL 01;ID 02;CL 02;ID 03;CL 03;ID 04;CL 04;ID 05;CL 05;ID 06;CL 06;ID 07;CL 07;ID 08;CL 08;
2017-05-30 14:47:38.473;Source Search;Alarm;T? change;;--;--;--;--;0.151;0.065;603.5;414.2;0;0;False;0;0.351;--;8;BKG;36.690;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:38.901;Source Search;Alarm;T? change;;--;--;--;--;0.147;0.065;620.5;414.2;0;0;False;0;0.281;--;8;BKG;37.149;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:39.509;Source Search;Alarm;T? change;;--;--;--;--;0.139;0.065;634.2;414.2;0;0;False;2;0.46;--;8;BKG;37.649;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:40.101;Source Search;Alarm;T? change;;--;--;--;--;0.144;0.065;629.7;414.2;0;0;False;0;0.368;--;8;BKG;38.345;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:40.723;Source Search;Alarm;T? change;;--;--;--;--;0.148;0.065;633.6;414.2;0;0;False;0;0.294;--;8;BKG;38.958;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:41.167;Source Search;Alarm;T? change;;--;--;--;--;0.145;0.065;644;414.2;0;0;False;0;0.236;--;8;BKG;39.395;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:41.652;Source Search;Alarm;T? change;;--;--;--;--;0.145;0.065;653;414.2;0;0;False;2;0.424;--;8;BKG;39.895;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:42.085;Source Search;Alarm;T? change;;--;--;--;--;0.15;0.065;652.8;414.2;0;0;False;0;0.339;--;8;BKG;40.338;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:42.581;Source Search;Alarm;T? change;;--;--;--;--;0.15;0.065;643.2;414.2;0;0;False;0;0.271;--;8;BKG;40.818;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:43.074;Source Search;Alarm;T? change;;--;--;--;--;0.141;0.065;629;414.2;0;0;False;0;0.217;--;8;BKG;41.266;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:43.578;Source Search;Alarm;T? change;;--;--;--;--;0.149;0.065;639.7;414.2;0;0;False;0;0.174;--;8;BKG;41.767;28.00;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:44.049;Source Search;Alarm;T? change;;--;--;--;--;0.152;0.065;654.7;414.2;0;0;False;0;0.139;--;8;BKG;42.247;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:44.540;Source Search;Alarm;T? change;;--;--;--;--;0.165;0.065;677.9;414.2;0;0;False;0;0.111;--;8;BKG;42.747;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:45.024;Source Search;Alarm;T? change;;--;--;--;--;0.158;0.065;674.7;414.2;0;0;False;0;0.089;--;8;BKG;43.216;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:48.355;Source Search;Alarm;T? change;;--;--;--;--;0.156;0.065;670.6;414.2;0;0;False;0.9;0.183;--;8;BKG;46.378;28.00;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:49.130;Source Search;Alarm;T? change;;--;--;--;--;0.154;0.065;675.8;414.2;0;0;False;1.3;0.294;--;8;BKG;47.176;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:49.620;Source Search;Alarm;T? change;;--;--;--;--;0.168;0.065;692.1;414.2;0;0;False;0;0.235;--;8;BKG;47.802;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:50.118;Source Search;Alarm;T? change;;--;--;--;--;0.169;0.065;695.1;414.2;0;0;False;0;0.188;--;8;BKG;48.302;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:50.625;Source Search;Alarm;T? change;;--;--;--;--;0.16;0.065;690.9;414.2;0;0;False;0;0.15;--;8;BKG;48.782;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:51.154;Source Search;Alarm;T? change;;--;--;--;--;0.159;0.065;694.8;414.2;0;0;False;0;0.12;--;8;BKG;49.336;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:51.657;Source Search;Alarm;T? change;;--;--;--;--;0.18;0.065;715;414.2;0;0;False;0;0.096;--;8;BKG;49.836;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:52.126;Source Search;Alarm;T? change;;--;--;--;--;0.173;0.065;722.1;414.2;0;0;False;0;0.077;--;8;BKG;50.318;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:52.636;Source Search;Alarm;T? change;;--;--;--;--;0.163;0.065;720.8;414.2;0;0;False;0;0.062;--;8;BKG;50.818;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:53.108;Source Search;Alarm;T? change;;--;--;--;--;0.171;0.065;723.6;414.2;0;0;False;0;0.049;--;8;BKG;51.296;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:53.612;Source Search;Alarm;T? change;;--;--;--;--;0.166;0.065;714.1;414.2;0;0;False;2;0.275;--;8;BKG;51.796;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:54.117;Source Search;Alarm;T? change;;--;--;--;--;0.168;0.065;703.9;414.2;0;0;False;0;0.22;--;8;BKG;52.271;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:54.592;Source Search;Alarm;T? change;;--;--;--;--;0.168;0.065;709.8;414.2;0;0;False;0;0.176;--;8;BKG;52.774;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:55.093;Source Search;Alarm;T? change;;--;--;--;--;0.16;0.065;690.1;414.2;0;0;False;0;0.141;--;8;BKG;53.274;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:55.572;Source Search;Alarm;T? change;;--;--;--;--;0.154;0.065;703.5;414.2;0;0;False;0;0.113;--;8;BKG;53.749;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:56.403;Source Search;Alarm;T? change;;--;--;--;--;0.155;0.065;699;414.2;0;0;False;1.2;0.231;--;8;BKG;54.584;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:56.900;Source Search;Alarm;T? change;;--;--;--;--;0.172;0.065;696.3;414.2;0;0;False;2;0.42;--;8;BKG;55.084;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:57.522;Source Search;Alarm;T? change;;--;--;--;--;0.169;0.065;706.2;414.2;0;0;False;0;0.336;--;8;BKG;55.697;28.19;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:58.018;Source Search;Alarm;T? change;;--;--;--;--;0.161;0.065;683.7;414.2;0;0;False;0;0.269;--;8;BKG;56.196;28.19;0.002;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:58.502;Source Search;Alarm;T? change;;--;--;--;--;0.157;0.065;668.6;414.2;0;0;False;0;0.215;--;8;BKG;56.676;28.19;0.003;False;91 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:00.260;Source Search;Alarm;T? change;;--;--;--;--;0.161;0.065;674.3;414.2;0;0;False;2;0.411;--;8;BKG;57.169;28.38;0.003;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:00.965;Source Search;Alarm;T? change;;--;--;--;--;0.153;0.065;660;414.2;0;0;False;0;0.329;--;8;BKG;59.145;28.38;0.003;False;91-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:01.636;Source Search;Alarm;T? change;;--;--;--;--;0.155;0.065;654.8;414.2;0;0;False;0;0.263;--;8;BKG;59.811;28.38;0.003;False;91-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:02.498;Source Search;Alarm;T? change;;--;--;--;--;0.157;0.065;662.1;414.2;0;0;False;1.5;0.385;--;8;BKG;60.484;28.38;0.003;False;91-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:03.184;Source Search;Alarm;T? change;;--;--;--;--;0.153;0.065;656.9;414.2;0;0;False;1.2;0.445;--;8;BKG;61.346;28.38;0.003;False;91-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:03.902;Source Search;Alarm;T? change;;--;--;--;--;0.145;0.065;651.6;414.2;0;0;False;1.4;0.519;--;8;BKG;62.064;28.38;0.003;False;91-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:04.590;Source Search;Alarm;T? change;;--;--;--;--;0.151;0.065;658.4;414.2;0;0;False;0;0.416;--;8;BKG;62.745;28.38;0.003;False;91-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:05.265;Source Search;Alarm;T? change;;--;--;--;--;0.148;0.065;669.1;414.2;0;0;False;0;0.332;--;8;BKG;63.435;28.38;0.003;False;92-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:05.939;Source Search;Alarm;T? change;;--;--;--;--;0.149;0.065;662.6;414.2;0;0;False;1.5;0.44;--;8;BKG;64.110;28.38;0.003;False;92-2671 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:06.603;Source Search;Alarm;T? change;;--;--;--;--;0.148;0.065;675.2;414.2;0;0;False;0;0.352;--;8;BKG;64.780;28.38;0.003;False;92-2670 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:07.464;Source Search;Alarm;T? change;;--;--;--;--;0.143;0.065;670.2;414.2;0;0;False;0;0.282;--;8;BKG;65.635;28.38;0.003;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:08.132;Source Search;Alarm;T? change;;--;--;--;--;0.153;0.065;675.2;414.2;0;0;False;0;0.225;--;8;BKG;66.309;28.38;0.003;False;92-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:09.111;Source Search;Alarm;T? change;;--;--;--;--;0.155;0.065;669.3;414.2;0;0;False;0;0.18;--;8;BKG;66.974;28.38;0.003;False;92-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:09.988;Source Search;Alarm;T? change;;--;--;--;--;0.157;0.065;687.2;414.2;0;0;False;0;0.144;--;8;BKG;67.952;28.38;0.003;False;92-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:10.673;Source Search;Alarm;T? change;;--;--;--;--;0.159;0.065;688;414.2;0;0;False;0;0.115;--;8;BKG;68.829;28.63;0.003;False;92-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:12.057;Source Search;Alarm;T? change;;--;--;--;--;0.155;0.065;687.8;414.2;0;0;False;0.7;0.177;--;8;BKG;70.214;28.63;0.003;False;91-2669 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:48:13.658;Source Search;Alarm;T? change;;--;--;--;--;0.16;0.065;686.2;414.2;0;0;False;1.5;0.314;--;8;BKG;70.897;28.63;0.003;False;91-2669 keV;7;;;;;;;;;;;;;;;
